primitive_instance,display_name,count,time,eval_direct
"/phylanx/__add$0/9$61$28","add(61, 28)",1,20097240,-1
"/phylanx/__add$1/9$62$28","add(62, 28)",1,1000804,-1
"/phylanx/__add$10/9$90$26","add(90, 26)",1,36299,-1
"/phylanx/__add$2/9$68$34","add(68, 34)",700,193709883032,0
"/phylanx/__add$3/9$70$52","add(70, 52)",700,306940348839,0
"/phylanx/__add$4/9$72$48","add(72, 48)",700,19535913,1
"/phylanx/__add$5/9$73$34","add(73, 34)",700,19993260,1
"/phylanx/__add$6/9$81$34","add(81, 34)",20000,25349395762,0
"/phylanx/__add$7/9$83$52","add(83, 52)",20000,64598053002,0
"/phylanx/__add$8/9$85$48","add(85, 48)",20000,255969809,1
"/phylanx/__add$9/9$86$34","add(86, 34)",20000,260823342,1
"/phylanx/__lt$0/9$56$16","lt(56, 16)",2,143115,1
"/phylanx/__lt$1/9$64$24","lt(64, 24)",701,28331525,1
"/phylanx/__lt$2/9$77$24","lt(77, 24)",20001,323282509,1
"/phylanx/__lt$3/10$95$4","lt(95, 4)",1,426404,-1
"/phylanx/__mul$0/9$32$22","mul(32, 22)",1,44285869,-1
"/phylanx/__mul$1/9$61$51","mul(61, 51)",1,92441,-1
"/phylanx/__mul$2/9$62$51","mul(62, 51)",1,137624,-1
"/phylanx/__ne$0/9$67$36","ne(67, 36)",700,199410144,1
"/phylanx/__ne$1/9$80$36","ne(80, 36)",20000,450389108,1
"/phylanx/access-argument$0$filepath/8$22$25","access-argument/filepath(22, 25)",1,1007,1
"/phylanx/access-argument$1$row_start/8$22$41","access-argument/row_start(22, 41)",1,675,1
"/phylanx/access-argument$10$num_factors/9$44$42","access-argument/num_factors(44, 42)",1,1203,1
"/phylanx/access-argument$11$num_factors/9$45$30","access-argument/num_factors(45, 30)",1,1638,1
"/phylanx/access-argument$12$num_factors/9$52$40","access-argument/num_factors(52, 40)",1,593,1
"/phylanx/access-argument$13$num_factors/9$52$53","access-argument/num_factors(52, 53)",1,164,1
"/phylanx/access-argument$14$num_factors/9$53$40","access-argument/num_factors(53, 40)",1,959,1
"/phylanx/access-argument$15$num_factors/9$53$53","access-argument/num_factors(53, 53)",1,152,1
"/phylanx/access-argument$16$num_factors/9$54$38","access-argument/num_factors(54, 38)",1,1788,1
"/phylanx/access-argument$17$num_factors/9$54$51","access-argument/num_factors(54, 51)",1,190,1
"/phylanx/access-argument$18$num_factors/9$55$38","access-argument/num_factors(55, 38)",1,1526,1
"/phylanx/access-argument$19$iterations/9$56$20","access-argument/iterations(56, 20)",2,3287,1
"/phylanx/access-argument$2$row_stop/8$22$52","access-argument/row_stop(22, 52)",1,339,1
"/phylanx/access-argument$20$enable_output/9$57$23","access-argument/enable_output(57, 23)",1,29074,1
"/phylanx/access-argument$21$regularization/9$61$51","access-argument/regularization(61, 51)",1,683,1
"/phylanx/access-argument$22$regularization/9$62$51","access-argument/regularization(62, 51)",1,849,1
"/phylanx/access-argument$3$col_start/8$23$14","access-argument/col_start(23, 14)",1,838,1
"/phylanx/access-argument$4$col_stop/8$23$25","access-argument/col_stop(23, 25)",1,279,1
"/phylanx/access-argument$5$filepath/9$29$32","access-argument/filepath(29, 32)",1,3924,1
"/phylanx/access-argument$6$row_stop/9$29$45","access-argument/row_stop(29, 45)",1,681,1
"/phylanx/access-argument$7$col_stop/9$29$58","access-argument/col_stop(29, 58)",1,461,1
"/phylanx/access-argument$8$alpha/9$32$22","access-argument/alpha(32, 22)",1,1276,1
"/phylanx/access-argument$9$num_factors/9$43$42","access-argument/num_factors(43, 42)",1,1687,1
"/phylanx/access-function$0$als/10$100$11","access-function/als(100, 11)",1,778,1
"/phylanx/access-function$0$read_r/9$29$25","access-function/read_r(29, 25)",1,778,1
"/phylanx/access-variable$0$ratings/9$30$33","access-variable/ratings(30, 33)",1,8163,1
"/phylanx/access-variable$1$ratings/9$31$33","access-variable/ratings(31, 33)",1,4863,1
"/phylanx/access-variable$10$num_users/9$40$40","access-variable/num_users(40, 40)",1,5457,1
"/phylanx/access-variable$11$num_users/9$43$31","access-variable/num_users(43, 31)",1,6919,1
"/phylanx/access-variable$12$num_items/9$44$31","access-variable/num_items(44, 31)",1,3944,1
"/phylanx/access-variable$13$num_items/9$46$30","access-variable/num_items(46, 30)",1,3364,1
"/phylanx/access-variable$14$num_users/9$47$30","access-variable/num_users(47, 30)",1,6940,1
"/phylanx/access-variable$15$k/9$56$16","access-variable/k(56, 16)",2,9030,1
"/phylanx/access-variable$16$k/9$58$48","access-variable/k(58, 48)",0,0,1
"/phylanx/access-variable$17$X/9$59$39","access-variable/X(59, 39)",0,0,1
"/phylanx/access-variable$18$Y/9$60$39","access-variable/Y(60, 39)",0,0,1
"/phylanx/access-variable$19$YtY/9$61$23","access-variable/YtY(61, 23)",0,0,1
"/phylanx/access-variable$2$ratings/9$32$29","access-variable/ratings(32, 29)",1,5755,1
"/phylanx/access-variable$20$Y/9$61$42","access-variable/Y(61, 42)",1,10732,1
"/phylanx/access-variable$21$Y/9$61$46","access-variable/Y(61, 46)",1,5263,1
"/phylanx/access-variable$22$I_f/9$61$68","access-variable/I_f(61, 68)",1,4995,1
"/phylanx/access-variable$23$XtX/9$62$23","access-variable/XtX(62, 23)",0,0,1
"/phylanx/access-variable$24$X/9$62$42","access-variable/X(62, 42)",1,3626,1
"/phylanx/access-variable$25$X/9$62$46","access-variable/X(62, 46)",1,56955,1
"/phylanx/access-variable$26$I_f/9$62$68","access-variable/I_f(62, 68)",1,3732,1
"/phylanx/access-variable$27$u/9$64$24","access-variable/u(64, 24)",701,1222233,1
"/phylanx/access-variable$28$num_users/9$64$28","access-variable/num_users(64, 28)",701,2585389,1
"/phylanx/access-variable$29$conf_u/9$65$33","access-variable/conf_u(65, 33)",0,0,1
"/phylanx/access-variable$3$num_items/9$34$43","access-variable/num_items(34, 43)",1,6384,1
"/phylanx/access-variable$30$conf/9$65$51","access-variable/conf(65, 51)",700,3344421,1
"/phylanx/access-variable$31$u/9$65$57","access-variable/u(65, 57)",700,1119400,1
"/phylanx/access-variable$32$c_u/9$66$31","access-variable/c_u(66, 31)",0,0,1
"/phylanx/access-variable$33$conf_u/9$66$41","access-variable/conf_u(66, 41)",700,2856231,1
"/phylanx/access-variable$34$p_u/9$67$31","access-variable/p_u(67, 31)",0,0,1
"/phylanx/access-variable$35$conf_u/9$67$41","access-variable/conf_u(67, 41)",700,6024944,1
"/phylanx/access-variable$36$A/9$68$31","access-variable/A(68, 31)",0,0,1
"/phylanx/access-variable$37$Y/9$68$52","access-variable/Y(68, 52)",700,3589454,1
"/phylanx/access-variable$38$c_u/9$68$56","access-variable/c_u(68, 56)",700,4487267,1
"/phylanx/access-variable$39$Y/9$68$62","access-variable/Y(68, 62)",700,4219701,1
"/phylanx/access-variable$4$num_users/9$35$43","access-variable/num_users(35, 43)",1,6109,1
"/phylanx/access-variable$40$YtY/9$68$67","access-variable/YtY(68, 67)",700,4513769,1
"/phylanx/access-variable$41$b/9$69$31","access-variable/b(69, 31)",0,0,1
"/phylanx/access-variable$42$Y/9$70$47","access-variable/Y(70, 47)",700,3834481,1
"/phylanx/access-variable$43$c_u/9$70$52","access-variable/c_u(70, 52)",700,2180839,1
"/phylanx/access-variable$44$I_i/9$70$58","access-variable/I_i(70, 58)",700,4259645,1
"/phylanx/access-variable$45$p_u/9$71$43","access-variable/p_u(71, 43)",700,6471035,1
"/phylanx/access-variable$46$u/9$72$45","access-variable/u(72, 45)",700,2793102,1
"/phylanx/access-variable$47$u/9$72$48","access-variable/u(72, 48)",700,2969158,1
"/phylanx/access-variable$48$X/9$72$37","access-variable/X(72, 37)",0,0,1
"/phylanx/access-variable$49$A/9$72$76","access-variable/A(72, 76)",700,1600973,1
"/phylanx/access-variable$5$num_items/9$37$40","access-variable/num_items(37, 40)",1,6225,1
"/phylanx/access-variable$50$b/9$72$80","access-variable/b(72, 80)",700,4577484,1
